cycle number	Ecell/V	<I>/mA	time/s	
1.000000000000000E+000	8.6306326E-002	6.468990142577127E-001	1.398699566434661E+004
1.000000000000000E+000	8.7006763E-002	6.487668307729280E-001	1.398714766435383E+004
1.000000000000000E+000	8.7728828E-002	6.506101144892114E-001	1.398729966436105E+004
1.000000000000000E+000	8.8531584E-002	6.525135690333252E-001	1.398745366436837E+004
1.000000000000000E+000	8.9321434E-002	6.543118780439574E-001	1.398760566437559E+004
1.000000000000000E+000	9.0026386E-002	6.560870302400490E-001	1.398775766438281E+004
1.000000000000000E+000	9.0830043E-002	6.577554736458069E-001	1.398791066439007E+004
1.000000000000000E+000	9.1594778E-002	6.594314794001583E-001	1.398806366439734E+004
1.000000000000000E+000	9.2365585E-002	6.610585265123312E-001	1.398821566440456E+004
1.000000000000000E+000	9.3090869E-002	6.627571770978058E-001	1.398836766441178E+004
1.000000000000000E+000	9.3906216E-002	6.644542106542852E-001	1.398852166441910E+004
1.000000000000000E+000	9.4654419E-002	6.659812497747133E-001	1.398867366442631E+004
1.000000000000000E+000	9.5419742E-002	6.673411093652264E-001	1.398882566443353E+004
1.000000000000000E+000	9.6170850E-002	6.688683339562580E-001	1.398897966444085E+004
1.000000000000000E+000	9.6931003E-002	6.703069340742998E-001	1.398913166444807E+004
1.000000000000000E+000	9.7705990E-002	6.716887076457319E-001	1.398928366445529E+004
1.000000000000000E+000	9.8489389E-002	6.733722426433477E-001	1.398943766446260E+004
1.000000000000000E+000	9.9240176E-002	6.749473925095399E-001	1.398958966446982E+004
1.000000000000000E+000	9.9976115E-002	6.763087129809229E-001	1.398974166447704E+004
1.000000000000000E+000	1.0072059E-001	6.777411455348616E-001	1.398989466448431E+004
1.000000000000000E+000	1.0153805E-001	6.790966950182478E-001	1.399004766449158E+004
1.000000000000000E+000	1.0230885E-001	6.804576814959837E-001	1.399019966449880E+004
1.000000000000000E+000	1.0298089E-001	6.819665441573085E-001	1.399035166450602E+004
1.000000000000000E+000	1.0379042E-001	6.833231715044867E-001	1.399050566451333E+004
1.000000000000000E+000	1.0451862E-001	6.845309997383087E-001	1.399065766452055E+004
1.000000000000000E+000	1.0530394E-001	6.856305641874654E-001	1.399080966452777E+004
1.000000000000000E+000	1.0609831E-001	6.869028714819168E-001	1.399096366453508E+004
1.000000000000000E+000	1.0681488E-001	6.881994927079536E-001	1.399111566454230E+004
